code,label,datatype,mandatory,standard
IRO-1_06,ESRS 2,string,True,ESRS 2
IRO-1_07,ESRS 2,string,True,ESRS 2
IRO-1_08,ESRS 2,string,True,ESRS 2
IRO-1_09,ESRS 2,string,True,ESRS 2
IRO-1_10,ESRS 2,string,True,ESRS 2
IRO-1_11,ESRS 2,string,True,ESRS 2
IRO-1_12,ESRS 2,string,True,ESRS 2
IRO-1_13,ESRS 2,string,True,ESRS 2
IRO-1_14,ESRS 2,string,True,ESRS 2
IRO-1_15,ESRS 2,string,True,ESRS 2
IRO-2_01,ESRS 2,string,True,ESRS 2
IRO-2_02,ESRS 2,string,True,ESRS 2
IRO-2_03,ESRS 2,string,True,ESRS 2
IRO-2_04,ESRS 2,string,True,ESRS 2
IRO-2_05,ESRS 2,string,True,ESRS 2
IRO-2_06,ESRS 2,string,True,ESRS 2
IRO-2_07,ESRS 2,string,True,ESRS 2
IRO-2_08,ESRS 2,string,True,ESRS 2
IRO-2_09,ESRS 2,string,True,ESRS 2
IRO-2_10,ESRS 2,string,True,ESRS 2
IRO-2_11,ESRS 2,string,True,ESRS 2
IRO-2_12,ESRS 2,string,True,ESRS 2
IRO-2_13,ESRS 2,string,True,ESRS 2
MDR-P_01,ESRS 2,string,True,ESRS 2 MDR
MDR-P_02,ESRS 2,string,True,ESRS 2 MDR
MDR-P_03,ESRS 2,string,True,ESRS 2 MDR
MDR-P_04,ESRS 2,string,True,ESRS 2 MDR
MDR-P_05,ESRS 2,string,True,ESRS 2 MDR
MDR-P_06,ESRS 2,string,True,ESRS 2 MDR
MDR-A_01,ESRS 2,string,True,ESRS 2 MDR
MDR-A_02,ESRS 2,string,True,ESRS 2 MDR
MDR-A_03,ESRS 2,string,True,ESRS 2 MDR
MDR-A_04,ESRS 2,string,True,ESRS 2 MDR
MDR-A_05,ESRS 2,string,True,ESRS 2 MDR
MDR-A_06,ESRS 2,string,True,ESRS 2 MDR
MDR-A_07,ESRS 2,string,True,ESRS 2 MDR
MDR-A_08,ESRS 2,string,True,ESRS 2 MDR
MDR-A_09,ESRS 2,string,True,ESRS 2 MDR
MDR-A_10,ESRS 2,string,True,ESRS 2 MDR
MDR-A_11,ESRS 2,string,True,ESRS 2 MDR
MDR-A_12,ESRS 2,string,True,ESRS 2 MDR
MDR-M_01,ESRS 2,string,True,ESRS 2 MDR
MDR-M_02,ESRS 2,string,True,ESRS 2 MDR
MDR-M_03,ESRS 2,string,True,ESRS 2 MDR
MDR-T_01,ESRS 2,string,True,ESRS 2 MDR
MDR-T_02,ESRS 2,string,True,ESRS 2 MDR
MDR-T_03,ESRS 2,string,True,ESRS 2 MDR
MDR-T_04,ESRS 2,string,True,ESRS 2 MDR
MDR-T_05,ESRS 2,string,True,ESRS 2 MDR
MDR-T_06,ESRS 2,string,True,ESRS 2 MDR
MDR-T_07,ESRS 2,string,True,ESRS 2 MDR
MDR-T_08,ESRS 2,string,True,ESRS 2 MDR
MDR-T_09,ESRS 2,string,True,ESRS 2 MDR
MDR-T_10,ESRS 2,string,True,ESRS 2 MDR
MDR-T_11,ESRS 2,string,True,ESRS 2 MDR
MDR-T_12,ESRS 2,string,True,ESRS 2 MDR
MDR-T_13,ESRS 2,string,True,ESRS 2 MDR
MDR-P_07,ESRS 2,string,True,ESRS 2 MDR
MDR-P_08,ESRS 2,string,True,ESRS 2 MDR
MDR-A_13,ESRS 2,string,True,ESRS 2 MDR
MDR-A_14,ESRS 2,string,True,ESRS 2 MDR
MDR-T_14,ESRS 2,string,True,ESRS 2 MDR
MDR-T_15,ESRS 2,string,True,ESRS 2 MDR
MDR-T_16,ESRS 2,string,True,ESRS 2 MDR
MDR-T_17,ESRS 2,string,True,ESRS 2 MDR
MDR-T_18,ESRS 2,string,True,ESRS 2 MDR
MDR-T_19,ESRS 2,string,True,ESRS 2 MDR
E1.GOV-3_01,E1,string,True,ESRS E1
E1.GOV-3_02,E1,string,True,ESRS E1
E1.GOV-3_03,E1,string,True,ESRS E1
E1-1_01,E1,string,True,ESRS E1
E1-1_02,E1,string,True,ESRS E1
E1-1_03,E1,string,True,ESRS E1
E1-1_04,E1,string,True,ESRS E1
