conceptId,lang,role,label
esrs_AAF_A0125,en,http://www.xbrl.org/2003/role/label,A1.2.5 - Growing of other tree and bush fruits and nuts
esrs_AAF_A0126,en,http://www.xbrl.org/2003/role/label,A1.2.6 - Growing of oleaginous fruits
esrs_AAF_A0127,en,http://www.xbrl.org/2003/role/label,A1.2.7 - Growing of beverage crops
esrs_AAF_A0128,en,http://www.xbrl.org/2003/role/label,"A1.2.8 - Growing of spices, aromatic, drug and pharmaceutical crops"
esrs_AAF_A0129,en,http://www.xbrl.org/2003/role/label,A1.2.9 - Growing of other perennial crops
esrs_AAF_A0130,en,http://www.xbrl.org/2003/role/label,A1.3.0 - Plant propagation
esrs_AAF_A0141,en,http://www.xbrl.org/2003/role/label,A1.4.1 - Raising of dairy cattle
esrs_AAF_A0142,en,http://www.xbrl.org/2003/role/label,A1.4.2 - Raising of other cattle and buffaloes
esrs_AAF_A0143,en,http://www.xbrl.org/2003/role/label,A1.4.3 - Raising of horses and other equines
esrs_AAF_A0144,en,http://www.xbrl.org/2003/role/label,A1.4.4 - Raising of camels and camelids
esrs_AAF_A0145,en,http://www.xbrl.org/2003/role/label,A1.4.5 - Raising of sheep and goats
esrs_AAF_A0146,en,http://www.xbrl.org/2003/role/label,A1.4.6 - Raising of swine/pigs
esrs_AAF_A0147,en,http://www.xbrl.org/2003/role/label,A1.4.7 - Raising of poultry
esrs_AAF_A0149,en,http://www.xbrl.org/2003/role/label,A1.4.9 - Raising of other animals
esrs_AAF_A0150,en,http://www.xbrl.org/2003/role/label,A1.5.0 - Mixed farming
esrs_AAF_A0161,en,http://www.xbrl.org/2003/role/label,A1.6.1 - Support activities for crop production
esrs_AAF_A0162,en,http://www.xbrl.org/2003/role/label,A1.6.2 - Support activities for animal production
esrs_AAF_A0163,en,http://www.xbrl.org/2003/role/label,A1.6.3 - Post-harvest crop activities
esrs_AAF_A0164,en,http://www.xbrl.org/2003/role/label,A1.6.4 - Seed processing for propagation
esrs_AAF_A0170,en,http://www.xbrl.org/2003/role/label,"A1.7.0 - Hunting, trapping and related service activities"
esrs_AAF_A0311,en,http://www.xbrl.org/2003/role/label,A3.1.1 - Marine fishing
esrs_AAF_A0312,en,http://www.xbrl.org/2003/role/label,A3.1.2 - Freshwater fishing
esrs_AAF_A0321,en,http://www.xbrl.org/2003/role/label,A3.2.1 - Marine aquaculture
esrs_AAF_A0322,en,http://www.xbrl.org/2003/role/label,A3.2.2 - Freshwater aquaculture
esrs_AGR,en,http://www.xbrl.org/2003/role/label,Agriculture
esrs_AbilityToImplementActionOrActionPlanDependsOnSpecificPreconditions,en,http://www.xbrl.org/2003/role/label,Ability to implement action or action plan depends on specific preconditions
esrs_AbsoluteOrRelativeTarget,en,http://www.xbrl.org/2003/role/label,Absolute or relative target
esrs_AbsoluteOrRelativeTargetAxis,en,http://www.xbrl.org/2003/role/label,Absolute or relative target [axis]
esrs_AbsoluteOrRelativeTargetMember,en,http://www.xbrl.org/2003/role/label,Absolute or relative target [member]
esrs_AbsoluteTargetMember,en,http://www.xbrl.org/2003/role/label,Absolute target [member]
esrs_AbsoluteValueOfLocationBasedScope2GreenhouseGasEmissionsReduction,en,http://www.xbrl.org/2003/role/label,Absolute value of location-based Scope 2 Greenhouse gas emissions reduction
esrs_AbsoluteValueOfMarketBasedScope2GreenhouseGasEmissionsReduction,en,http://www.xbrl.org/2003/role/label,Absolute value of market-based Scope 2 Greenhouse gas emissions reduction
esrs_AbsoluteValueOfScope1GreenhouseGasEmissionsReduction,en,http://www.xbrl.org/2003/role/label,Absolute value of Scope 1 Greenhouse gas emissions reduction
esrs_AbsoluteValueOfScope3GreenhouseGasEmissionsReduction,en,http://www.xbrl.org/2003/role/label,Absolute value of Scope 3 Greenhouse gas emissions reduction
