parentId,childId,order
esrs_EcologicalThresholdsAndEntityspecificAllocationsWereTakenIntoConsiderationWhenSettingResourceUseAndCircularEconomyTarget,esrs_DisclosureOfEcologicalThresholdsIdentifiedAndMethodologyUsedToIdentifyEcologicalThresholdsResourceUseAndCircularEconomyExplanatory,10.0
esrs_EcologicalThresholdsAndEntityspecificAllocationsWereTakenIntoConsiderationWhenSettingResourceUseAndCircularEconomyTarget,esrs_EcologicalThresholdsAreEntityspecificResourceUseAndCircularEconomy,20.0
esrs_EcologicalThresholdsAreEntityspecificResourceUseAndCircularEconomy,esrs_DisclosureOfHowEcologicalEntityspecificThresholdsWereDeterminedResourceUseAndCircularEconomyExplanatory,10.0
esrs_EcologicalThresholdsAndEntityspecificAllocationsWereTakenIntoConsiderationWhenSettingResourceUseAndCircularEconomyTarget,esrs_DisclosureOfHowResponsibilityForRespectingIdentifiedEcologicalThresholdsIsAllocatedResourceUseAndCircularEconomyExplanatory,30.0
esrs_DisclosureOfMeasurableOutcomeorientedAndTimeboundTargetExplanatory,esrs_ResourceUseAndCircularEconomyTargetIsMandatoryRequiredByLegislation,290.0
esrs_DisclosureOfMeasurableOutcomeorientedAndTimeboundTargetExplanatory,esrs_ResourceUseAndCircularEconomyRelatedTargetAddressesShortcomingsRelatedToSubstantialContributionCriteriaForCircularEconomy,300.0
esrs_DisclosureOfMeasurableOutcomeorientedAndTimeboundTargetExplanatory,esrs_ResourceUseAndCircularEconomyRelatedTargetAddressesShortcomingsRelatedToDoNoSignificantHarmCriteriaForCircularEconomy,310.0
esrs_DisclosureOfMeasurableOutcomeorientedAndTimeboundTargetExplanatory,esrs_MeasurableTargetPercentage,50.0
esrs_DisclosureOfMeasurableOutcomeorientedAndTimeboundTargetExplanatory,esrs_BaselineValueOfMeasurableTargetPercentage,100.0
esrs_DisclosureOfMeasurableOutcomeorientedAndTimeboundTargetExplanatory,esrs_NameOrIdentifierOfTarget,10.0
esrs_DisclosureOfMeasurableOutcomeorientedAndTimeboundTargetExplanatory,esrs_AbsoluteOrRelativeTarget,60.0
esrs_DisclosureOfMeasurableOutcomeorientedAndTimeboundTargetExplanatory,esrs_ESRSMetricsUsedForTarget,70.0
esrs_MinimumDisclosureRequirementTargetsRelatedToResourceUseAndCircularEconomyTable,esrs_TopicalESRSAxis,4.0
esrs_TopicalESRSAxis,esrs_TopicTopicUnspecifiedMember,10.0
esrs_TopicTopicUnspecifiedMember,esrs_ESRSE5ResourceUseAndCircularEconomyMember,10.0
esrs_MinimumDisclosureRequirementTargetsRelatedToResourceUseAndCircularEconomyTable,esrs_ReportingScopeAxis,1.0
esrs_ReportingScopeAxis,esrs_CurrentAndRetrospectiveMember,10.0
esrs_CurrentAndRetrospectiveMember,esrs_RestatedCorrectedOrRevisedMember,10.0
esrs_MinimumDisclosureRequirementTargetsRelatedToResourceUseAndCircularEconomyTable,esrs_IdentifierOfTargetTypedAxis,2.0
esrs_DisclosureOfResourceUseAndCircularEconomyrelatedTargetsExplanatory,esrs_MinimumDisclosureRequirementTargetsRelatedToResourceUseAndCircularEconomyTargetsNotAdoptedAbstract,20.0
esrs_MinimumDisclosureRequirementTargetsRelatedToResourceUseAndCircularEconomyTargetsNotAdoptedAbstract,esrs_MinimumDisclosureRequirementTargetsRelatedToResourceUseAndCircularEconomyTargetsNotAdoptedTable,10.0
esrs_MinimumDisclosureRequirementTargetsRelatedToResourceUseAndCircularEconomyTargetsNotAdoptedAbstract,esrs_MinimumDisclosureRequirementTargetsRelatedToResourceUseAndCircularEconomyTargetsNotAdoptedLineItems,20.0
esrs_MinimumDisclosureRequirementTargetsRelatedToResourceUseAndCircularEconomyTargetsNotAdoptedLineItems,esrs_MeasurableOutcomeorientedTargetsHaveNotBeenSet,10.0
esrs_MeasurableOutcomeorientedTargetsHaveNotBeenSet,esrs_EffectivenessOfPoliciesAndActionsIsTrackedInRelationToMaterialSustainabilityrelatedImpactRiskAndOpportunity,40.0
esrs_EffectivenessOfPoliciesAndActionsIsTrackedInRelationToMaterialSustainabilityrelatedImpactRiskAndOpportunity,esrs_BaseYearFromWhichProgressIsMeasured,30.0
esrs_EffectivenessOfPoliciesAndActionsIsTrackedInRelationToMaterialSustainabilityrelatedImpactRiskAndOpportunity,esrs_DescriptionOfProcessesThroughWhichEffectivenessOfPoliciesAndActionsIsTrackedInRelationToMaterialSustainabilityrelatedImpactRiskAndOpportunityExplanatory,10.0
esrs_EffectivenessOfPoliciesAndActionsIsTrackedInRelationToMaterialSustainabilityrelatedImpactRiskAndOpportunity,esrs_DescriptionOfDefinedLevelOfAmbitionToBeAchievedAndOfAnyQualitativeOrQuantitativeIndicatorsUsedToEvaluateProgressExplanatory,20.0
esrs_EffectivenessOfPoliciesAndActionsIsTrackedInRelationToMaterialSustainabilityrelatedImpactRiskAndOpportunity,esrs_BaselineValueAgainstWhichProgressIsConsideredAbsoluteValue,40.0
esrs_EffectivenessOfPoliciesAndActionsIsTrackedInRelationToMaterialSustainabilityrelatedImpactRiskAndOpportunity,esrs_BaselineValueAgainstWhichProgressIsConsideredPercentage,50.0
esrs_MeasurableOutcomeorientedTargetsHaveNotBeenSet,esrs_MeasurableOutcomeorientedTargetsWillBeSet,20.0
esrs_MeasurableOutcomeorientedTargetsWillBeSet,esrs_DisclosureOfTimeframeForSettingOfMeasurableOutcomeorientedTargetsExplanatory,10.0
esrs_MeasurableOutcomeorientedTargetsHaveNotBeenSet,esrs_DescriptionOfReasonsWhyThereAreNoPlansToSetMeasurableOutcomeorientedTargetsExplanatory,30.0
esrs_MeasurableOutcomeorientedTargetsHaveNotBeenSet,esrs_NameOrIdentifierOfRelatedImpactsRisksAndOpportunities,10.0
esrs_MinimumDisclosureRequirementTargetsRelatedToResourceUseAndCircularEconomyTargetsNotAdoptedTable,esrs_TopicalESRSAxis,2.0
esrs_MinimumDisclosureRequirementTargetsRelatedToResourceUseAndCircularEconomyTargetsNotAdoptedTable,esrs_ReportingScopeAxis,1.0
esrs_MinimumDisclosureRequirementTargetsRelatedToResourceUseAndCircularEconomyTargetsNotAdoptedTable,esrs_IdentifierOfPolicyTypedAxis,-2.0
esrs_TargetsRelatedToClimateChangeMitigationAndAdaptationGeneralAbstract,esrs_DisclosureOfClimaterelatedTargetsExplanatory,10.0
esrs_DisclosureOfClimaterelatedTargetsExplanatory,esrs_TargetsRelatedToClimateChangeMitigationAndAdaptationGHGEmissionsReductionTargetsByDecarbonisationLeversAbstract,50.0
esrs_TargetsRelatedToClimateChangeMitigationAndAdaptationGHGEmissionsReductionTargetsByDecarbonisationLeversAbstract,esrs_TargetsRelatedToClimateChangeMitigationAndAdaptationGHGEmissionsReductionTargetsByDecarbonisationLeversTable,10.0
esrs_TargetsRelatedToClimateChangeMitigationAndAdaptationGHGEmissionsReductionTargetsByDecarbonisationLeversTable,esrs_DecarbonisationLeverAxis,13.0
esrs_DecarbonisationLeverAxis,esrs_DecarbonisationLeverMember,10.0
esrs_DecarbonisationLeverMember,esrs_EnergyEfficiencyAndConsumptionReductionMember,10.0
esrs_DecarbonisationLeverMember,esrs_MaterialEfficiencyAndConsumptionReductionMember,20.0
esrs_DecarbonisationLeverMember,esrs_FuelSwitchingMember,30.0
esrs_DecarbonisationLeverMember,esrs_ElectrificationMember,40.0
esrs_DecarbonisationLeverMember,esrs_UseOfRenewableEnergyMember,50.0
esrs_DecarbonisationLeverMember,esrs_PhaseOutSubstitutionOrModificationOfProductMember,60.0
esrs_DecarbonisationLeverMember,esrs_PhaseOutSubstitutionOrModificationOfProcessMember,70.0
esrs_DecarbonisationLeverMember,esrs_OtherDecarbonisationLeversMember,80.0
esrs_TargetsRelatedToClimateChangeMitigationAndAdaptationGHGEmissionsReductionTargetsByDecarbonisationLeversTable,esrs_ReportingScopeAxis,7.0
esrs_ReportingScopeAxis,esrs_CurrentAndRetrospectiveMember,10.0
esrs_CurrentAndRetrospectiveMember,esrs_BaselineYearMember,10.0
esrs_CurrentAndRetrospectiveMember,esrs_MilestonesAndTargetYearsMember,20.0
esrs_MilestonesAndTargetYearsMember,esrs_Milestone2030YearMember,20.0
esrs_MilestonesAndTargetYearsMember,esrs_Milestone2035YearMember,30.0
esrs_MilestonesAndTargetYearsMember,esrs_Milestone2040YearMember,40.0
esrs_MilestonesAndTargetYearsMember,esrs_Milestone2045YearMember,50.0
esrs_MilestonesAndTargetYearsMember,esrs_Milestone2050YearMember,60.0
esrs_MilestonesAndTargetYearsMember,esrs_Milestone2025YearMember,10.0
esrs_CurrentAndRetrospectiveMember,esrs_RestatedCorrectedOrRevisedMember,30.0
esrs_TargetsRelatedToClimateChangeMitigationAndAdaptationGHGEmissionsReductionTargetsByDecarbonisationLeversAbstract,esrs_TargetsRelatedToClimateChangeMitigationAndAdaptationGHGEmissionsReductionTargetsByDecarbonisationLeversLineItems,20.0
esrs_TargetsRelatedToClimateChangeMitigationAndAdaptationGHGEmissionsReductionTargetsByDecarbonisationLeversLineItems,esrs_TotalGreenhouseGasEmissionsAbstract,10.0
esrs_TotalGreenhouseGasEmissionsAbstract,esrs_PercentageOfTotalGreenhouseGasEmissionsReductionAsOfEmissionsOfBaseYear,30.0
esrs_TotalGreenhouseGasEmissionsAbstract,esrs_PercentageOfTargetRelatedToTotalGreenhouseGasEmissionsAsOfEmissionsOfBaseYear,40.0
esrs_TotalGreenhouseGasEmissionsAbstract,esrs_AbsoluteValueOfTotalGreenhouseGasEmissionsReduction,10.0
esrs_TotalGreenhouseGasEmissionsAbstract,esrs_PercentageOfTargetRelatedToTotalGreenhouseGasEmissions,20.0
esrs_TotalGreenhouseGasEmissionsAbstract,esrs_PercentageOfScope1GreenhouseGasEmissionsInTotalGreenhouseGasEmissionsReduction,50.0
esrs_TotalGreenhouseGasEmissionsAbstract,esrs_PercentageOfScope2LocationbasedGreenhouseGasEmissionsInTotalGreenhouseGasEmissionsReduction,60.0
esrs_TotalGreenhouseGasEmissionsAbstract,esrs_PercentageOfScope2MarketbasedGreenhouseGasEmissionsInTotalGreenhouseGasEmissionsReduction,70.0
esrs_TotalGreenhouseGasEmissionsAbstract,esrs_PercentageOfScope3GreenhouseGasEmissionsInTotalGreenhouseGasEmissionsReduction,80.0
esrs_TargetsRelatedToClimateChangeMitigationAndAdaptationGHGEmissionsReductionTargetsByDecarbonisationLeversLineItems,esrs_Scope1GreenhouseGasEmissionsAbstract,20.0
esrs_Scope1GreenhouseGasEmissionsAbstract,esrs_AbsoluteValueOfScope1GreenhouseGasEmissionsReduction,10.0
esrs_Scope1GreenhouseGasEmissionsAbstract,esrs_PercentageOfTargetRelatedToScope1GreenhouseGasEmissions,20.0
esrs_Scope1GreenhouseGasEmissionsAbstract,esrs_PercentageOfScope1GreenhouseGasEmissionsReductionAsOfEmissionsOfBaseYear,30.0
