tag_id,dimension_tag_id,name
esrs_DisclosureOfReportingBoundariesConsideredAndCalculationMethodsForEstimatingScope3GHGEmissionsCategoryAndIfRelevantCalculationToolsAppliedExplanatory,esrs_ScopeDimensionScope3,GHGScope
esrs_DisclosureOfTypesOfContractualInstrumentsScope2GHGEmissionsExplanatory,esrs_ScopeDimensionScope1,GHGScope
esrs_DisclosureOfWhyCorrectionOfPriorPeriodErrorsIsNotPracticableExplanatory,esrs_TimeDimensionPeriod,Time
esrs_DisclosureOfWhyScope3GHGEmissionsCategoriesHaveBeenExcludedFromInventoryExplanatory,esrs_ScopeDimensionScope3,GHGScope
esrs_ExplanationOfWhyItIsNotPossibleToDiscloseDataAboutEmployeesForGenderCategorisedAsOtherThanFemaleAndMaleAndWhyThisCategoryIsNotApplicableExplanatory,esrs_GenderDimensionMale,Gender
esrs_FemaleMember,esrs_GenderDimensionFemale,Gender
esrs_FinancialAndInkindPoliticalContributionsMadeByCountryAbstract,esrs_GeographicDimensionCountry,Geography
esrs_FinancialAndInkindPoliticalContributionsMadeByCountryLineItems,esrs_GeographicDimensionCountry,Geography
esrs_FinancialAndInkindPoliticalContributionsMadeByCountryTable,esrs_GeographicDimensionCountry,Geography
esrs_FinancialAndInkindPoliticalContributionsMadeByGeographicalAreaAbstract,esrs_GeographicDimension,Geography
esrs_FinancialAndInkindPoliticalContributionsMadeByGeographicalAreaLineItems,esrs_GeographicDimension,Geography
esrs_FinancialAndInkindPoliticalContributionsMadeByGeographicalAreaTable,esrs_GeographicDimension,Geography
esrs_GenderAxis,esrs_GenderDimensionMale,Gender
esrs_GenderMember,esrs_GenderDimensionMale,Gender
esrs_GenderNotReportedMember,esrs_GenderDimensionMale,Gender
esrs_GenderPayGap,esrs_GenderDimensionMale,Gender
esrs_GenderPayGapAbstract,esrs_GenderDimensionMale,Gender
esrs_GenderPayGapLineItems,esrs_GenderDimensionMale,Gender
esrs_GenderPayGapTable,esrs_GenderDimensionMale,Gender
esrs_GeographicalAreaTypedAxis,esrs_GeographicDimension,Geography
esrs_GrossLocationBasedScope2GreenhouseGasEmissions,esrs_ScopeDimensionLocationBased,GHGScope
esrs_GrossMarketBasedScope2GreenhouseGasEmissions,esrs_ScopeDimensionMarketBased,GHGScope
esrs_GrossScope1GreenhouseGasEmissions,esrs_ScopeDimensionScope1,GHGScope
esrs_GrossScope3GreenhouseGasEmissions,esrs_ScopeDimensionScope3,GHGScope
esrs_GrossScopes123AndTotalGHGEmissionsScope3GHGEmissionsGHGProtocolAbstract,esrs_ScopeDimensionScope3,GHGScope
esrs_GrossScopes123AndTotalGHGEmissionsScope3GHGEmissionsGHGProtocolLineItems,esrs_ScopeDimensionScope3,GHGScope
esrs_GrossScopes123AndTotalGHGEmissionsScope3GHGEmissionsGHGProtocolTable,esrs_ScopeDimensionScope3,GHGScope
esrs_GrossScopes123AndTotalGHGEmissionsScope3GHGEmissionsISO140641Abstract,esrs_ScopeDimensionScope3,GHGScope
esrs_GrossScopes123AndTotalGHGEmissionsScope3GHGEmissionsISO140641LineItems,esrs_ScopeDimensionScope3,GHGScope
esrs_GrossScopes123AndTotalGHGEmissionsScope3GHGEmissionsISO140641Table,esrs_ScopeDimensionScope3,GHGScope
esrs_InformationAboutCountriesOrGeographicAreasWithOperationsConsideredAtSignificantRiskOfIncidentsOfChildLabourExplanatory,esrs_GeographicDimension,Geography
esrs_InformationAboutCountriesOrGeographicAreasWithOperationsConsideredAtSignificantRiskOfIncidentsOfForcedLabourOrCompulsoryLabourExplanatory,esrs_GeographicDimension,Geography
esrs_InformationAboutEffectivenessOfProcessesForEngagingWithOwnWorkforceFromPreviousReportingPeriodsExplanatory,esrs_TimeDimensionPeriod,Time
esrs_InformationAboutMembersExperienceRelevantToSectorsProductsAndGeographicLocationsOfUndertakingExplanatory,esrs_GeographicDimension,Geography
esrs_IntensityValueOfLocationBasedScope2GreenhouseGasEmissionsReduction,esrs_ScopeDimensionLocationBased,GHGScope
esrs_IntensityValueOfMarketBasedScope2GreenhouseGasEmissionsReduction,esrs_ScopeDimensionMarketBased,GHGScope
esrs_IntensityValueOfScope1GreenhouseGasEmissionsReduction,esrs_ScopeDimensionScope1,GHGScope
esrs_IntensityValueOfScope3GreenhouseGasEmissionsReduction,esrs_ScopeDimensionScope3,GHGScope
esrs_ListOfScope3GHGEmissionsCategoriesExcludedFromInventoryGHGProtocol,esrs_ScopeDimensionScope3,GHGScope
esrs_ListOfScope3GHGEmissionsCategoriesExcludedFromInventoryISO140641,esrs_ScopeDimensionScope3,GHGScope
esrs_ListOfScope3GHGEmissionsCategoriesIncludedInInventoryGHGProtocol,esrs_ScopeDimensionScope3,GHGScope
esrs_ListOfScope3GHGEmissionsCategoriesIncludedInInventoryISO140641,esrs_ScopeDimensionScope3,GHGScope
esrs_LocationBasedGreenhouseGasEmissions,esrs_ScopeDimensionLocationBased,GHGScope
esrs_LocationBasedScope2GreenhouseGasEmissionsAbstract,esrs_ScopeDimensionLocationBased,GHGScope
esrs_LocationBasedScope2GreenhouseGasEmissionsIntensityValueAbstract,esrs_ScopeDimensionLocationBased,GHGScope
esrs_MaleMember,esrs_GenderDimensionMale,Gender
esrs_MarketBasedGreenhouseGasEmissions,esrs_ScopeDimensionMarketBased,GHGScope
esrs_MarketBasedScope2GreenhouseGasEmissionsAbstract,esrs_ScopeDimensionMarketBased,GHGScope
esrs_MarketBasedScope2GreenhouseGasEmissionsIntensityValueAbstract,esrs_ScopeDimensionMarketBased,GHGScope
esrs_MaterialErrorsInPriorPeriodAbstract,esrs_TimeDimensionPeriod,Time
esrs_MilestonesAndTargetYearsMember,esrs_TimeDimensionTargetYear,Time
esrs_MonetisedGrossScope1And2GHGEmissions,esrs_ScopeDimensionScope1,GHGScope
