tag_id,qname,abstract,periodType
esrs_ActualAndPotentialImpactsOnBiodiversityAndEcosystemsAtOwnSiteLocationsAndInUpstreamAndDownstreamValueChainHaveBeenIdentifiedAndAssessed,{https://xbrl.efrag.org/taxonomy/draft-esrs/2023-07-31}esrs_ActualAndPotentialImpactsOnBiodiversityAndEcosystemsAtOwnSiteLocationsAndInUpstreamAndDownstreamValueChainHaveBeenIdentifiedAndAssessed,False,duration
esrs_ActualAndPotentialImpactsOnOwnWorkforceValueChainWorkersAffectedCommunitiesConsumersAndEndusersInformAndContributeToAdaptingStrategyAndBusinessModel,{https://xbrl.efrag.org/taxonomy/draft-esrs/2023-07-31}esrs_ActualAndPotentialImpactsOnOwnWorkforceValueChainWorkersAffectedCommunitiesConsumersAndEndusersInformAndContributeToAdaptingStrategyAndBusinessModel,False,duration
esrs_ActualAndPotentialImpactsOnOwnWorkforceValueChainWorkersAffectedCommunitiesConsumersAndEndusersOriginateFromOrAreConnectedToStrategyAndBusinessModels,{https://xbrl.efrag.org/taxonomy/draft-esrs/2023-07-31}esrs_ActualAndPotentialImpactsOnOwnWorkforceValueChainWorkersAffectedCommunitiesConsumersAndEndusersOriginateFromOrAreConnectedToStrategyAndBusinessModels,False,duration
esrs_AdaptationSolutionType,{https://xbrl.efrag.org/taxonomy/draft-esrs/2023-07-31}esrs_AdaptationSolutionType,False,duration
esrs_AdequateWagesAbstract,{https://xbrl.efrag.org/taxonomy/draft-esrs/2023-07-31}esrs_AdequateWagesAbstract,False,duration
esrs_AdequateWagesByCountryAbstract,{https://xbrl.efrag.org/taxonomy/draft-esrs/2023-07-31}esrs_AdequateWagesByCountryAbstract,False,duration
esrs_AdequateWagesByCountryLineItems,{https://xbrl.efrag.org/taxonomy/draft-esrs/2023-07-31}esrs_AdequateWagesByCountryLineItems,False,duration
esrs_AdequateWagesByCountryTable,{https://xbrl.efrag.org/taxonomy/draft-esrs/2023-07-31}esrs_AdequateWagesByCountryTable,False,duration
esrs_AdequateWagesGeneralAbstract,{https://xbrl.efrag.org/taxonomy/draft-esrs/2023-07-31}esrs_AdequateWagesGeneralAbstract,False,duration
esrs_AdequateWagesLineItems,{https://xbrl.efrag.org/taxonomy/draft-esrs/2023-07-31}esrs_AdequateWagesLineItems,False,duration
esrs_AdequateWagesTable,{https://xbrl.efrag.org/taxonomy/draft-esrs/2023-07-31}esrs_AdequateWagesTable,False,duration
esrs_AdjustingItemsToAssetsAtMaterialPhysicalRisk,{https://xbrl.efrag.org/taxonomy/draft-esrs/2023-07-31}esrs_AdjustingItemsToAssetsAtMaterialPhysicalRisk,False,duration
esrs_AdjustingItemsToAssetsAtMaterialTransitionRisk,{https://xbrl.efrag.org/taxonomy/draft-esrs/2023-07-31}esrs_AdjustingItemsToAssetsAtMaterialTransitionRisk,False,duration
esrs_AdjustingItemsToLiabilitiesAtMaterialTransitionRisk,{https://xbrl.efrag.org/taxonomy/draft-esrs/2023-07-31}esrs_AdjustingItemsToLiabilitiesAtMaterialTransitionRisk,False,duration
esrs_AdjustingItemsToNetRevenueAtMaterialPhysicalRisk,{https://xbrl.efrag.org/taxonomy/draft-esrs/2023-07-31}esrs_AdjustingItemsToNetRevenueAtMaterialPhysicalRisk,False,duration
esrs_AdjustingItemsToNetRevenueAtMaterialTransitionRisk,{https://xbrl.efrag.org/taxonomy/draft-esrs/2023-07-31}esrs_AdjustingItemsToNetRevenueAtMaterialTransitionRisk,False,duration
esrs_AdjustmentOfComparativeInformationForOneOrMorePriorPeriodsIsImpracticable,{https://xbrl.efrag.org/taxonomy/draft-esrs/2023-07-31}esrs_AdjustmentOfComparativeInformationForOneOrMorePriorPeriodsIsImpracticable,False,duration
esrs_AdjustmentsToPhysicalEnvironmentToEnsureHealthAndSafetyForWorkersCustomersAndOtherVisitorsWithDisabilitiesHaveBeenMade,{https://xbrl.efrag.org/taxonomy/draft-esrs/2023-07-31}esrs_AdjustmentsToPhysicalEnvironmentToEnsureHealthAndSafetyForWorkersCustomersAndOtherVisitorsWithDisabilitiesHaveBeenMade,False,duration
esrs_AdministrativeBodyMember,{https://xbrl.efrag.org/taxonomy/draft-esrs/2023-07-31}esrs_AdministrativeBodyMember,False,duration
esrs_AdministrativeManagementAndSupervisoryBodiesAreInformedAboutMaterialImpactsRisksAndOpportunitiesImplementationOfDueDiligenceAndResultsAndEffectivenessOfPoliciesActionsMetricsAndTargetsAdoptedToAddressThem,{https://xbrl.efrag.org/taxonomy/draft-esrs/2023-07-31}esrs_AdministrativeManagementAndSupervisoryBodiesAreInformedAboutMaterialImpactsRisksAndOpportunitiesImplementationOfDueDiligenceAndResultsAndEffectivenessOfPoliciesActionsMetricsAndTargetsAdoptedToAddressThem,False,duration
esrs_AdministrativeManagementAndSupervisoryBodiesAreInformedAboutViewsAndInterestsOfAffectedStakeholdersWithRegardToSustainabilityrelatedImpacts,{https://xbrl.efrag.org/taxonomy/draft-esrs/2023-07-31}esrs_AdministrativeManagementAndSupervisoryBodiesAreInformedAboutViewsAndInterestsOfAffectedStakeholdersWithRegardToSustainabilityrelatedImpacts,False,duration
esrs_AdministrativeManagementAndSupervisoryBodiesAxis,{https://xbrl.efrag.org/taxonomy/draft-esrs/2023-07-31}esrs_AdministrativeManagementAndSupervisoryBodiesAxis,False,duration
esrs_AdministrativeManagementAndSupervisoryBodiesHaveApprovedTransitionClimateChange,{https://xbrl.efrag.org/taxonomy/draft-esrs/2023-07-31}esrs_AdministrativeManagementAndSupervisoryBodiesHaveApprovedTransitionClimateChange,False,duration
esrs_AdministrativeManagementAndSupervisoryBodiesHaveApprovedTransitionPlanBiodiversityAndEcosystems,{https://xbrl.efrag.org/taxonomy/draft-esrs/2023-07-31}esrs_AdministrativeManagementAndSupervisoryBodiesHaveApprovedTransitionPlanBiodiversityAndEcosystems,False,duration
esrs_AdministrativeManagementAndSupervisoryBodiesMember,{https://xbrl.efrag.org/taxonomy/draft-esrs/2023-07-31}esrs_AdministrativeManagementAndSupervisoryBodiesMember,False,duration
esrs_AffectedCommunitiesAreIndigenousPeoples,{https://xbrl.efrag.org/taxonomy/draft-esrs/2023-07-31}esrs_AffectedCommunitiesAreIndigenousPeoples,False,duration
esrs_AffectedCommunitiesConsumersAndEndusersThatMayBeAffectedAreAbleToAccessChannelsAtLevelOfUndertakingTheyAreAffectedBy,{https://xbrl.efrag.org/taxonomy/draft-esrs/2023-07-31}esrs_AffectedCommunitiesConsumersAndEndusersThatMayBeAffectedAreAbleToAccessChannelsAtLevelOfUndertakingTheyAreAffectedBy,False,duration
esrs_AllEmployeesAndOrNonemployeesArePaidAdequateWageInLineWithApplicableBenchmarks,{https://xbrl.efrag.org/taxonomy/draft-esrs/2023-07-31}esrs_AllEmployeesAndOrNonemployeesArePaidAdequateWageInLineWithApplicableBenchmarks,False,duration
esrs_AllEmployeesAreEntitledToFamilyrelatedLeaveThroughSocialPolicyAndOrCollectiveBargainingAgreements,{https://xbrl.efrag.org/taxonomy/draft-esrs/2023-07-31}esrs_AllEmployeesAreEntitledToFamilyrelatedLeaveThroughSocialPolicyAndOrCollectiveBargainingAgreements,False,duration
esrs_AllPeopleInOwnWorkforceValueChainWorkersAffectedCommunitiesConsumersAndEndusersWhoCouldBeMateriallyImpactedByUndertakingAreIncludedInScopeOfDisclosureUnderESRS2,{https://xbrl.efrag.org/taxonomy/draft-esrs/2023-07-31}esrs_AllPeopleInOwnWorkforceValueChainWorkersAffectedCommunitiesConsumersAndEndusersWhoCouldBeMateriallyImpactedByUndertakingAreIncludedInScopeOfDisclosureUnderESRS2,False,duration
esrs_AmendmentsToStrategyAndOrBusinessModelAreLikelyToModifyRelationshipWithAndViewsOfStakeholders,{https://xbrl.efrag.org/taxonomy/draft-esrs/2023-07-31}esrs_AmendmentsToStrategyAndOrBusinessModelAreLikelyToModifyRelationshipWithAndViewsOfStakeholders,False,duration
esrs_AmountOfCarbonCreditsOutsideValueChainPlannedToBeCancelledInFuture,{https://xbrl.efrag.org/taxonomy/draft-esrs/2023-07-31}esrs_AmountOfCarbonCreditsOutsideValueChainPlannedToBeCancelledInFuture,False,duration
esrs_AmountOfCarbonCreditsOutsideValueChainThatAreVerifiedAgainstRecognisedQualityStandardsAndCancelled,{https://xbrl.efrag.org/taxonomy/draft-esrs/2023-07-31}esrs_AmountOfCarbonCreditsOutsideValueChainThatAreVerifiedAgainstRecognisedQualityStandardsAndCancelled,False,duration
esrs_AmountOfFinesForViolationOfAnticorruptionAndAntibriberyLaws,{https://xbrl.efrag.org/taxonomy/draft-esrs/2023-07-31}esrs_AmountOfFinesForViolationOfAnticorruptionAndAntibriberyLaws,False,duration
esrs_AmountOfFinesPenaltiesAndCompensationForDamagesAsResultOfIncidentesAndComplaints,{https://xbrl.efrag.org/taxonomy/draft-esrs/2023-07-31}esrs_AmountOfFinesPenaltiesAndCompensationForDamagesAsResultOfIncidentesAndComplaints,False,duration
esrs_AmountOfFinesPenaltiesAndCompensationForDamagesForSevereHumanRightsIncidentsConnectedToOwnWorkforce,{https://xbrl.efrag.org/taxonomy/draft-esrs/2023-07-31}esrs_AmountOfFinesPenaltiesAndCompensationForDamagesForSevereHumanRightsIncidentsConnectedToOwnWorkforce,False,duration
esrs_AmountOfInternalAndExternalLobbyingExpenses,{https://xbrl.efrag.org/taxonomy/draft-esrs/2023-07-31}esrs_AmountOfInternalAndExternalLobbyingExpenses,False,duration
esrs_AmountOfSubstancesOfConcernThatAreGeneratedOrUsedDuringProductionOrThatAreProcured,{https://xbrl.efrag.org/taxonomy/draft-esrs/2023-07-31}esrs_AmountOfSubstancesOfConcernThatAreGeneratedOrUsedDuringProductionOrThatAreProcured,False,duration
esrs_AmountOfSubstancesOfConcernThatLeaveFacilitiesAsEmissions,{https://xbrl.efrag.org/taxonomy/draft-esrs/2023-07-31}esrs_AmountOfSubstancesOfConcernThatLeaveFacilitiesAsEmissions,False,duration
esrs_AmountOfSubstancesOfConcernThatLeaveFacilitiesAsEmissionsAsProductsOrAsPartOfProductsOrServices,{https://xbrl.efrag.org/taxonomy/draft-esrs/2023-07-31}esrs_AmountOfSubstancesOfConcernThatLeaveFacilitiesAsEmissionsAsProductsOrAsPartOfProductsOrServices,False,duration
